nm_completo,dt_nascimento,genero,est_civil,nr_cpf,nacionalidade,etnia,endereco,e_mail,nr_plano_saude,nm_plano_saude,nr_prontuario,alergias,condicoes_medicas_pre,medicamento_uso_regular
Johnny Rodriguez,1962-09-05,Feminino,Divorciado,512-74-4920,Brasileira,Negra,"82524 Dylan Parkway
New Keithfurt, AR 23519",michaelsmith@example.com,22056736,Jordan Ltd,763821,Amoxicilina,Asma,Insulina
Abigail Williams,2005-02-08,Masculino,Casado,021-41-5070,Brasileira,Amarela,"499 Stanley Harbors
Port Tylerside, IL 93944",rsolomon@example.org,7397106,Hahn-Riley,879889,Amendoim,,Atorvastatina
John Mills,1967-07-10,Masculino,Divorciado,371-05-2627,Brasileira,Parda,"66146 Johnson Shoals
South Sara, WV 56781",amber21@example.net,78299679,Pearson Inc,719970,Amoxicilina,Hipertensão,Insulina
Madison Turner,2003-03-06,Masculino,Viúvo,281-57-9200,Brasileira,Branca,"1640 John Crossroad Apt. 758
East Katrina, KY 69649",heatherbecker@example.org,91471775,"Osborn, Hernandez and Weaver",594530,,Hipertensão,Insulina
Vanessa Manning,1925-08-22,Feminino,Casado,550-52-5192,Brasileira,Branca,"84919 David Divide Apt. 203
East Jerryberg, FL 75932",kyle50@example.org,39611255,"Wright, Reeves and Paul",112039,Amoxicilina,Hipertensão,Losartana
Adam Baird DVM,1961-02-02,Masculino,Casado,312-28-9733,Brasileira,Amarela,"64017 Christopher Haven Apt. 018
North Grantstad, MT 60751",lisaharper@example.net,70249471,Wilson Group,243318,Amendoim,Diabetes,
Vickie Collins,1983-09-18,Masculino,Divorciado,525-06-1612,Brasileira,Amarela,"Unit 4237 Box 6440
DPO AA 24085",stantonrachael@example.net,23618472,"Francis, Lopez and Jones",812454,,,Losartana
Rebecca Hines,1923-08-22,Masculino,Viúvo,640-54-0762,Brasileira,Amarela,"25903 Torres Vista
Bryanchester, LA 63978",bwashington@example.net,84697775,Galvan LLC,418893,Amendoim,Asma,Insulina
Denise Bush,1995-10-07,Masculino,Divorciado,494-77-1571,Brasileira,Amarela,"Unit 3774 Box 7170
DPO AP 16385",john80@example.org,9645959,"Blanchard, Munoz and Smith",643663,Amoxicilina,Hipertensão,Insulina
Tyler Wilson,1991-02-06,Feminino,Solteiro,423-06-2812,Brasileira,Branca,"367 Nguyen Falls
Brentville, ME 98679",lisakelly@example.net,36308752,Nguyen LLC,838200,Amoxicilina,Diabetes,Insulina
Melissa Wong,1931-05-10,Feminino,Casado,836-58-4284,Brasileira,Branca,"951 Fuller Shore
Mariahborough, MP 08800",pwade@example.org,13809735,Porter LLC,112712,,Doença Cardíaca,Atorvastatina
John Thornton,1991-02-21,Masculino,Divorciado,622-31-1093,Brasileira,Branca,"USS Wagner
FPO AA 35451",emilyparks@example.com,69840437,"Christian, Rodriguez and Kelly",444733,Amendoim,Doença Cardíaca,
Breanna Riddle,1982-02-20,Masculino,Solteiro,848-51-2711,Brasileira,Amarela,"2170 Jordan Orchard
Laraside, GA 46396",qjuarez@example.org,8000635,Richard and Sons,928165,Amoxicilina,Hipertensão,Losartana
Christopher Noble,1982-07-05,Masculino,Viúvo,177-53-5625,Brasileira,Amarela,"USNV Rogers
FPO AP 64778",ffrench@example.org,37753371,"Miles, Wong and Fry",345183,Amendoim,,Insulina
Matthew Vazquez,1968-01-28,Feminino,Viúvo,316-70-6449,Brasileira,Negra,"214 Hernandez Harbor Apt. 303
Morseborough, MH 64997",petersonerica@example.net,42497724,Morgan Inc,263684,Amoxicilina,,
Gina Donovan,2005-12-18,Feminino,Viúvo,473-96-8739,Brasileira,Branca,"26688 Mcclain Fords
West Sandra, MS 45995",john91@example.com,61785930,Atkins Ltd,406499,Amoxicilina,Diabetes,Atorvastatina
Gary Whitehead,1988-06-29,Masculino,Viúvo,501-40-8447,Brasileira,Parda,"USNS Holmes
FPO AP 28152",bryantjohn@example.com,27443680,Gay-Mcpherson,469579,Amoxicilina,Doença Cardíaca,Insulina
Kevin Johnson,1937-09-14,Masculino,Viúvo,087-62-5105,Brasileira,Amarela,"332 Christopher Station Suite 587
South Rebecca, WY 00970",amandasimmons@example.org,31924386,"Nelson, Thornton and Nguyen",934046,Amendoim,Doença Cardíaca,Losartana
David Mercado,2000-03-01,Feminino,Solteiro,144-48-0272,Brasileira,Amarela,"51220 Kristine Terrace Apt. 849
West Wendyborough, NE 13119",justingonzalez@example.org,20023958,Stark Ltd,157359,Amoxicilina,Hipertensão,
Brian Moss,1926-07-27,Masculino,Viúvo,034-84-3498,Brasileira,Parda,"610 Christopher Throughway Suite 905
Lake William, AZ 73825",nhamilton@example.com,33834658,"Martin, Perez and Howell",244520,Amendoim,,
Jeremiah Miller,1959-06-10,Masculino,Solteiro,235-21-8405,Brasileira,Parda,"218 Gary Shores Suite 376
Port Clayton, IN 80942",adam24@example.com,89261559,Wilson-Wilkinson,297437,,Asma,Losartana
Crystal Wang,1941-04-25,Feminino,Casado,217-65-4134,Brasileira,Parda,"2738 Mitchell Road Suite 054
Hawkinsfort, TN 49968",smithmartin@example.com,5891209,"Wolfe, Garza and Alvarado",754059,Amendoim,Asma,Atorvastatina
Andrew Guzman,1949-03-10,Masculino,Divorciado,454-66-3160,Brasileira,Amarela,"48126 Sara Loop
South Paulberg, PA 12323",wilsonkimberly@example.com,57656124,Burgess LLC,130350,Amendoim,Diabetes,Losartana
Jennifer Brooks PhD,1929-11-30,Masculino,Divorciado,101-11-2354,Brasileira,Amarela,"322 Sharon Shoals
New Kaylachester, VT 73700",pbrown@example.net,83097632,Simpson-Prince,219510,Amoxicilina,Doença Cardíaca,
Jennifer Martin,1963-07-27,Feminino,Casado,855-27-5997,Brasileira,Branca,"85646 White Parkway
Raymondhaven, ND 88522",martinchristopher@example.com,62517697,Downs-Prince,644849,,Doença Cardíaca,
Julie Jones,1971-05-04,Masculino,Divorciado,208-08-8136,Brasileira,Branca,"4459 Brian Oval
East Margaretside, CO 16261",ronaldjones@example.org,64279588,May-Snyder,724159,,Hipertensão,Atorvastatina
Melissa Ortiz,2000-02-13,Masculino,Viúvo,197-91-2701,Brasileira,Negra,"Unit 3690 Box 6323
DPO AA 39152",tdrake@example.net,92117713,Sanchez Group,678999,,Doença Cardíaca,Losartana
Thomas Johnson,1939-05-31,Feminino,Solteiro,561-02-9303,Brasileira,Branca,"7595 Mann Lakes Apt. 514
Kathrynton, MA 58875",ymaxwell@example.com,56069846,"Reese, Bell and Stone",692898,Amendoim,Asma,Losartana
Jill Howell,1938-10-04,Masculino,Casado,525-21-7339,Brasileira,Amarela,"00535 Deborah Track Apt. 145
Teresabury, MS 53014",mjohnson@example.org,17870758,Smith LLC,679145,Amendoim,Hipertensão,Atorvastatina
James Harmon,1963-05-23,Feminino,Divorciado,556-75-4259,Brasileira,Branca,"1806 Michelle Rapid
West Olivia, VA 99684",lindsaynguyen@example.org,15511107,"Shaw, Jones and Chang",187971,Amendoim,Hipertensão,Losartana
Latasha Drake,1985-10-30,Feminino,Casado,071-30-8141,Brasileira,Branca,"4045 Nguyen Rest Apt. 767
Cabreramouth, WI 81444",yjohnson@example.org,76881042,Shah-Compton,714178,Amoxicilina,Asma,Atorvastatina
Nicholas Crosby,1940-04-25,Masculino,Viúvo,524-81-0408,Brasileira,Negra,"Unit 1512 Box 6375
DPO AP 14858",cwalsh@example.org,36013417,Gardner-Woods,342134,,Doença Cardíaca,Losartana
Diana Gonzales,1994-06-01,Masculino,Casado,236-20-4561,Brasileira,Negra,"75706 Manning Canyon Apt. 772
East Melinda, DC 02671",nancysmith@example.net,58848458,Garcia-Young,728742,,Asma,Insulina
Mike Robinson,1968-11-20,Feminino,Viúvo,836-46-4516,Brasileira,Amarela,"4993 Andrea Plain Suite 908
Hubbardfort, MP 69311",crichard@example.com,75455043,"Avila, Spencer and James",190797,Amoxicilina,Diabetes,Insulina
Martha Mendez,1925-04-22,Masculino,Viúvo,166-68-1908,Brasileira,Negra,"86250 Anderson Junction
Robertsside, MD 28002",gmatthews@example.com,86588217,Brown Group,401172,Amoxicilina,Diabetes,Insulina
Ashley Quinn,1975-01-26,Feminino,Divorciado,662-52-2302,Brasileira,Branca,"5162 Smith Road Apt. 820
Port Sandra, VA 70936",margaretmcgee@example.net,42701457,"Goodman, Manning and Hampton",532834,Amoxicilina,,Insulina
Tiffany Macdonald,1946-06-02,Masculino,Casado,532-87-5200,Brasileira,Parda,"7645 Cook Key Suite 616
South Francesbury, NM 34622",fieldsjonathan@example.com,68680437,"Yoder, Pittman and Becker",551024,,Hipertensão,Insulina
Justin Castillo,1945-08-04,Feminino,Divorciado,094-02-1756,Brasileira,Branca,"2255 Banks Wall Suite 142
Port Nicholaston, WV 83704",kaylapineda@example.net,45655033,Wallace and Sons,692944,Amendoim,Doença Cardíaca,
Ryan Gillespie,1953-12-22,Masculino,Solteiro,191-06-0857,Brasileira,Negra,"4863 Shannon Flats
Port Carmenchester, NC 82015",vjohnson@example.net,45267769,Jackson Inc,354617,Amoxicilina,Asma,Insulina
